"ID";"Area";"Question";"Description";"Status";"Engine behaviour today";"What we need from the business";"Decision so far / answer";"Needs business input";"Priority";"Related"
"Q1";"Granularity";"Do we ever need to delete ROWS inside a partition we keep?";"v1 deletes at object granularity: an HDFS path, a Hive partition, or a whole engine run. That covers retention and storage reclamation. It does not cover a GDPR-style request to remove one client from a partition that must otherwise survive. Row-level deletion is a different engine: it means rewriting the partition in place, or moving the table to a DELETE-capable format such as Iceberg or Delta, plus a compaction story and a way to prove the row is gone. Knowing now whether this is in scope changes the storage-format conversation, not just the purge one.";"Answered";"Deletes a whole path or partition. A partition that must be kept is kept entirely.";"Confirm whether any regulation or client request obliges us to remove individual rows from data we otherwise retain, and on which domains.";"ANSWER (business 2026-08-29): ""we delete the partition run_id for almost all engines except one engine is simulator we will delete all table the logic is to delete all data related to one run so for projection example one run is storing data using new run_id partition"" -- DECISION (business 2026-08-29): the unit is the RUN. For almost every engine a run is one partition (projection: runId=<uuid>), and deleting the run means deleting that partition across the run's output tables. ONE engine - the simulator - stores a run as a WHOLE TABLE, so for that engine the unit is the table. No row-level deletion is required. IMPACT: EngineDescriptor gains a deletion granularity (PARTITION | TABLE); the simulator descriptor will declare TABLE.";"No";"High";"spec 2 / 15.1"
"Q2";"Regulatory retention";"Which domains have a legally mandated minimum retention?";"PC02 (LEGAL HOLD) is the control that refuses to delete data a regulator requires us to keep, and it is only as good as the policies it reads. Today no domain is marked. We need the floors per domain - BCE / ACPR reporting, IFRS9, RWA, stress test - expressed as a duration and, where it applies, a freeze window. This is the single answer that must be in place before any destructive code is enabled: every other control protects against an operational mistake, this one protects against a regulatory breach.";"Answered";"legalHold defaults to false; nothing is protected by regulation unless a policy says so.";"For each domain: the minimum retention the regulator imposes, its legal basis, and who owns the answer.";"ANSWER (business 2026-08-29): ""the Business only have the right to purge so they know the rules"" -- DECISION (business 2026-08-29): the business alone holds the right to purge, and knows the regulatory rules that apply to its own data. No legal-hold referential will be maintained by the engine. IMPACT: PC02 stays implemented and stays off unless a policy sets legalHold - it becomes a lever the business can use per perimeter, not a floor the engine enforces.";"No";"High";"spec 8 PC02 / 15.2"
"Q3";"Retention policy";"What retention does each perimeter actually want?";"The engine reads a retention referential: per domain or path pattern, a value and a unit (DAY / MONTH / QUARTER / YEAR), how many versions must survive whatever their age (keepMinVersions), and the deletion strategy. Q2 gives the regulatory FLOOR; this question is the business CHOICE above it. A candidate matching no policy is blocked by PC01, so an unanswered perimeter is safe - it simply cannot be purged.";"Answered";"Default-deny: no policy means the object is blocked, never deleted.";"Per perimeter: how long to keep, how many runs or vintages to always keep, and which team owns the rule.";"ANSWER (business 2026-08-29): ""the retention policy will not be hnadled , the business is the owner of his own data will decide wich data should be purge"" -- DECISION (business 2026-08-29): retention policies will NOT be handled. The business owns its data and decides which runs to purge; there is no automatic ageing-out. IMPACT (significant): the retention referential becomes optional, and PC01 no longer blocks an object merely because no policy matched it - that would block every purge. The deny boundary moves from 'a policy must authorise it' to 'it must have been explicitly named', which the engine already enforces: a run is scoped from the engine's own run configuration and nothing else is selected. A new PC15 reports objects with no policy so the fact stays visible in the report instead of disappearing.";"No";"High";"spec 9.5 / 8 PC01"
"Q4";"Lineage";"Is there a dependency referential PC05 can read?";"PC05 refuses to delete a table another object still consumes. It needs a source of lineage: Atlas, Navigator, or a table TWIST maintains. Without one the control reports UNKNOWN rather than passing - visible in the report, but it is a control that never actually fires. We can bootstrap a partial view from run_history inputs, which would cover engine-to-engine dependencies and miss anything consumed by a notebook, a dashboard or a downstream team.";"Answered";"PC05 reports UNKNOWN and is listed in the report banner as a control that could not be checked.";"Name the lineage source if one exists, or confirm we bootstrap from run_history and accept partial cover.";"ANSWER (business 2026-08-29): ""yes this referantial we will create it step by step using purge engine project"" -- DECISION (business 2026-08-29): no lineage referential exists yet; it will be built incrementally as part of the purge engine project. IMPACT: none for now - PC05 keeps reporting UNKNOWN, which the report already hoists into its banner, and starts firing once the referential is populated.";"No";"Medium";"spec 8 PC05 / 15.3"
"Q5";"Recoverability";"What is fs.trash.interval on Promethee, and is Trash enabled for the purge account?";"TRASH is the default deletion strategy and the reason the design can claim a purge is reversible. The restore window is exactly fs.trash.interval, a cluster-wide setting the engine reads rather than imposes. If Trash is disabled for the service account, or the interval is very short, then 'recoverable by default' is not true and the guarantee has to be reworded - and the archive question (Q7) becomes urgent rather than optional.";"Answered";"Assumes Trash is available; RestoreDriver puts objects back from trash_path within the window.";"Confirm the value of fs.trash.interval and that Trash applies to the account that will run the purge.";"ANSWER (business 2026-08-29): ""yes trash is enable, trash in cloudera is deleted after 7 days"" -- DECISION (platform 2026-08-29): Trash is enabled on Promethee and Cloudera empties it after 7 DAYS. IMPACT: the restore window is 7 days. RestoreDriver and the restore_deadline column are computed from that; TRASH stays the default strategy and 'reversible by default' holds, with a stated one-week limit.";"No";"High";"spec 12.8 / 15.4"
"Q6";"Identity";"Service account with delete rights, or --proxy-user per requester?";"Two models. A dedicated service account holding wide delete ACLs is simple, and makes that account a universal delete key. Submitting with --proxy-user <requester> means HDFS itself enforces the requester's own rights, so the engine cannot delete anything the person could not have deleted by hand. The design prefers proxy-user; it needs Kerberos impersonation to be allowed for the launching account. Note the dbprojection listing shows a real ownership split (sttengineihm vs usertest_migration), so whichever account runs the purge must be able to delete both.";"Answered";"Runs as whatever account submits it; the requester travels as user_launcher for traceability only.";"Decide the model with the platform team, and confirm the chosen account can delete data owned by both sttengineihm and usertest_migration.";"ANSWER (business 2026-08-29): ""the service account , the requestor we will have it in configuration file"" -- DECISION (platform 2026-08-29): the engine runs under a SERVICE ACCOUNT; the requester is carried in the configuration file for traceability. --proxy-user is not used. IMPACT: HDFS will not enforce the requester's own rights, so the containment controls (PC03 and PurgeGuard) and the scope itself are the only things standing between the service account and data it should not touch. Both are already locked controls.";"No";"High";"spec 11 / 15.5"
"Q7";"Archive";"Is there an archive tier PC07 should check before a hard delete?";"PC07 refuses an unrecoverable HARD delete when the policy demands an archive and no copy is found. It currently looks for the object under archiveRoot at the same relative path - a convention, not a confirmed layout. If there is a real archive tier (cold HDFS, tape, object storage) we should check it properly; if HARD simply means gone, the control can be limited to the perimeters that set it.";"Answered";"Looks under archiveRoot at the candidate's path relative to its scan root. Not evaluated for TRASH.";"Confirm whether an archive tier exists, where it lives, and how a copy is named there.";"ANSWER (business 2026-08-29): ""stand by this option , we could have archive in another storage outside than Cloudera"" -- DECISION (business 2026-08-29): on hold. An archive may exist on storage OUTSIDE Cloudera, which the engine cannot reach from a Spark job. IMPACT: PC07 stays implemented and stays inert - it is only evaluated for a HARD delete whose policy demands an archive, and no perimeter sets that today.";"No";"Medium";"spec 8 PC07 / 15.6"
"Q8";"Hive tables";"Are all engine outputs EXTERNAL tables with external.table.purge = FALSE?";"The design assumes EXTERNAL tables whose data survives DROP TABLE, which is what the STR engines write today. A MANAGED table changes what DROP PARTITION does to the files underneath - it deletes them, outside the engine's own deletion path and therefore outside its audit. The catalog reader already carries the flag through so a control can refuse to drop a MANAGED partition without an explicit instruction; we need to know whether that case exists.";"Answered";"Reads table_type and external.table.purge and carries them into the manifest.";"Confirm no engine writes MANAGED tables, or name the ones that do.";"ANSWER (business 2026-08-29): ""all engines Are all engine outputs EXTERNAL tables with external.table.purge = TRUE"" -- DECISION (platform 2026-08-29): every engine output is an EXTERNAL table with external.table.purge = TRUE - the OPPOSITE of what the design assumed. IMPACT: DROP PARTITION deletes the data itself, so for a registered partition the metadata drop IS the deletion and the executor must not also delete the path. To verify before P4: whether a Hive-driven drop honours Trash, because if it does not, the 7-day restore window of Q5 does not apply to that path.";"No";"Medium";"spec 15.7"
"Q9";"Engine coverage";"Which engine after projection, and does any engine write output it does not declare?";"The MVP handles the projection engine: its conf.properties declares the run id, the output database, every output table, the non-Hive output folder and every input. Adding an engine is one EngineDescriptor - the keys naming those things - and nothing else. The risk is an engine that writes somewhere its run configuration does not mention: that output would be invisible to the purge and would survive it, leaving orphaned data behind a run that was supposed to be gone.";"Answered";"Only 'projection' is supported; an unknown engine name is refused with the list of supported ones.";"Rank the engines to cover next, and confirm for each that its run configuration declares every output it writes.";"ANSWER (business 2026-08-29): ""all the output for projection are declared in the configuration file of projection run"" -- DECISION (business 2026-08-29): every output of a projection run is declared in that run's configuration file. IMPACT: confirms the MVP - the scope is read from the run configuration and nothing is inferred. The same confirmation is needed per engine as each is added.";"No";"High";"spec 3bis / 15.8"
"Q10";"Projection layout";"Is the runId partition double-nested under term_structure?";"The HDFS layout note reports a possible runId=<uuid>/runid=<uuid>/ nesting that the screenshot does not confirm - it only shows the first level. If the nesting is real, the inventory treats the INNER directory as the purge unit and the outer one as a parent that is not itself a unit, which is still correct but changes what the report lists and what a deletion removes. Worth one hdfs dfs -ls before the first real perimeter rather than discovering it during an execution.";"Answered";"Walks to a leaf directory and treats that as the purge unit, whatever the depth.";"Run: hdfs dfs -ls <db>/term_structure/runId=<uuid>/ and confirm whether a second level exists.";"ANSWER (business 2026-08-29): ""no there is only one parent partition is runid"" -- DECISION (platform 2026-08-29): there is ONE partition level, runid. The double nesting the layout screenshot hinted at does not exist. IMPACT: none - the inventory walks to the leaf directory whatever the depth. Both spellings are still emitted (runId= on disk, runid= in the metastore).";"No";"Medium";"layout note / spec 15.9"
